Name,Sex
Aamir,B
Aaron,B
Abbey,B
Abbie,B
Abbot,B
Abbott,B
Abby,B
Abdel,B
Abdul,B
Abdulkarim,B
Abdullah,B
Abe,B
Abel,B
Abelard,B
Abner,B
Abraham,B
Abram,B
Ace,B
Adair,B
Adam,B
Adams,B
Addie,B
Adger,B
Aditya,B
Adlai,B
Adnan,B
Adolf,B
Adolfo,B
Adolph,B
Adolphe,B
Adolpho,B
Adolphus,B
Adrian,B
Adrick,B
Adrien,B
Agamemnon,B
Aguinaldo,B
Aguste,B
Agustin,B
Aharon,B
Ahmad,B
Ahmed,B
Ahmet,B
Ajai,B
Ajay,B
Al,B
Alaa,B
Alain,B
Alan,B
Alasdair,B
Alastair,B
Albatros,B
Albert,B
Alberto,B
Albrecht,B
Alden,B
Aldis,B
Aldo,B
Aldric,B
Aldrich,B
Aldus,B
Aldwin,B
Alec,B
Aleck,B
Alejandro,B
Aleks,B
Aleksandrs,B
Alessandro,B
Alex,B
Alexander,B
Alexei,B
Alexis,B
Alf,B
Alfie,B
Alfonse,B
Alfonso,B
Alfonzo,B
Alford,B
Alfred,B
Alfredo,B
Algernon,B
Ali,B
Alic,B
Alister,B
Alix,B
Allah,B
Allan,B
Allen,B
Alley,B
Allie,B
Allin,B
Allyn,B
Alonso,B
Alonzo,B
Aloysius,B
Alphonse,B
Alphonso,B
Alston,B
Alton,B
Alvin,B
Alwin,B
Amadeus,B
Ambros,B
Ambrose,B
Ambrosi,B
Ambrosio,B
Ambrosius,B
Amery,B
Amory,B
Amos,B
Anatol,B
Anatole,B
Anatollo,B
Anatoly,B
Anders,B
Andie,B
Andonis,B
Andre,B
Andrea,B
Andreas,B
Andrej,B
Andres,B
Andrew,B
Andrey,B
Andri,B
Andros,B
Andrus,B
Andrzej,B
Andy,B
Angel,B
Angelico,B
Angelo,B
Angie,B
Angus,B
Ansel,B
Ansell,B
Anselm,B
Anson,B
Anthony,B
Antin,B
Antoine,B
Anton,B
Antone,B
Antoni,B
Antonin,B
Antonino,B
Antonio,B
Antonius,B
Antony,B
Anurag,B
Apollo,B
Apostolos,B
Aram,B
Archibald,B
Archibold,B
Archie,B
Archon,B
Archy,B
Arel,B
Ari,B
Arie,B
Ariel,B
Aristotle,B
Arlo,B
Armand,B
Armando,B
Armond,B
Armstrong,B
Arne,B
Arnie,B
Arnold,B
Arnoldo,B
Aron,B
Arron,B
Art,B
Arther,B
Arthur,B
Artie,B
Artur,B
Arturo,B
Arvie,B
Arvin,B
Arvind,B
Arvy,B
Ash,B
Ashby,B
Ashish,B
Ashley,B
Ashton,B
Aub,B
Aube,B
Aubert,B
Aubrey,B
Augie,B
August,B
Augustin,B
Augustine,B
Augusto,B
Augustus,B
Austen,B
Austin,B
Ave,B
Averell,B
Averil,B
Averill,B
Avery,B
Avi,B
Avraham,B
Avram,B
Avrom,B
Axel,B
Aylmer,B
Aziz,B
Bailey,B
Bailie,B
Baillie,B
Baily,B
Baird,B
Baldwin,B
Bancroft,B
Barbabas,B
Barclay,B
Bard,B
Barde,B
Barn,B
Barnabas,B
Barnabe,B
Barnaby,B
Barnard,B
Barnebas,B
Barnett,B
Barney,B
Barnie,B
Barny,B
Baron,B
Barr,B
Barret,B
Barrett,B
Barri,B
Barrie,B
Barris,B
Barron,B
Barry,B
Bart,B
Bartel,B
Barth,B
Barthel,B
Bartholemy,B
Bartholomeo,B
Bartholomeus,B
Bartholomew,B
Bartie,B
Bartlet,B
Bartlett,B
Bartolemo,B
Bartolomei,B
Bartolomeo,B
Barton,B
Barty,B
Bary,B
Basil,B
Batholomew,B
Baxter,B
Bay,B
Bayard,B
Beale,B
Bealle,B
Bear,B
Bearnard,B
Beau,B
Beaufort,B
Beauregard,B
Beck,B
Bela,B
Ben,B
Benedict,B
Bengt,B
Benito,B
Benjamen,B
Benjamin,B
Benji,B
Benjie,B
Benjy,B
Benn,B
Bennet,B
Bennett,B
Bennie,B
Benny,B
Benson,B
Bentley,B
Benton,B
Beowulf,B
Berchtold,B
Berk,B
Berke,B
Berkeley,B
Berkie,B
Berkley,B
Bernard,B
Bernardo,B
Bernd,B
Bernhard,B
Bernie,B
Bert,B
Bertie,B
Bertram,B
Bertrand,B
Bharat,B
Biff,B
Bill,B
Billie,B
Billy,B
Bing,B
Binky,B
Bishop,B
Bjorn,B
Bjorne,B
Blaine,B
Blair,B
Blake,B
Blare,B
Blayne,B
Bo,B
Bob,B
Bobbie,B
Bobby,B
Bogart,B
Bogdan,B
Boniface,B
Boris,B
Boyce,B
Boyd,B
Brad,B
Braden,B
Bradford,B
Bradley,B
Bradly,B
Brady,B
Brandon,B
Brandy,B
Brant,B
Brendan,B
Brent,B
Bret,B
Brett,B
Brewer,B
Brewster,B
Brian,B
Brice,B
Briggs,B
Brinkley,B
Britt,B
Brock,B
Broddie,B
Broddy,B
Broderic,B
Broderick,B
Brodie,B
Brody,B
Bronson,B
Brook,B
Brooke,B
Brooks,B
Bruce,B
Bruno,B
Bryan,B
Bryant,B
Bryce,B
Bryn,B
Bryon,B
Bubba,B
Buck,B
Bucky,B
Bud,B
Buddy,B
Burgess,B
Burke,B
Burl,B
Burnaby,B
Burt,B
Burton,B
Buster,B
Butch,B
Butler,B
Byram,B
Byron,B
Caesar,B
Cain,B
Cal,B
Caldwell,B
Caleb,B
Calhoun,B
Calvin,B
Cam,B
Cameron,B
Cammy,B
Carey,B
Carl,B
Carleigh,B
Carlie,B
Carlin,B
Carlo,B
Carlos,B
Carlton,B
Carlyle,B
Carmine,B
Carroll,B
Carson,B
Carsten,B
Carter,B
Cary,B
Caryl,B
Case,B
Casey,B
Caspar,B
Casper,B
Cass,B
Cat,B
Cecil,B
Cesar,B
Chad,B
Chadd,B
Chaddie,B
Chaddy,B
Chadwick,B
Chaim,B
Chalmers,B
Chan,B
Chance,B
Chancey,B
Chanderjit,B
Chandler,B
Chane,B
Chariot,B
Charles,B
Charleton,B
Charley,B
Charlie,B
Charlton,B
Chas,B
Chase,B
Chaunce,B
Chauncey,B
Che,B
Chelton,B
Chen,B
Chester,B
Cheston,B
Chet,B
Chev,B
Chevalier,B
Chevy,B
Chip,B
Chris,B
Chrissy,B
Christ,B
Christian,B
Christiano,B
Christie,B
Christof,B
Christofer,B
Christoph,B
Christophe,B
Christopher,B
Christorpher,B
Christos,B
Christy,B
Chrisy,B
Chuck,B
Churchill,B
Clair,B
Claire,B
Clancy,B
Clarance,B
Clare,B
Clarence,B
Clark,B
Clarke,B
Claude,B
Claudio,B
Claudius,B
Claus,B
Clay,B
Clayborn,B
Clayborne,B
Claybourne,B
Clayton,B
Cleland,B
Clem,B
Clemens,B
Clement,B
Clemente,B
Clemmie,B
Cletus,B
Cleveland,B
Cliff,B
Clifford,B
Clifton,B
Clint,B
Clinten,B
Clinton,B
Clive,B
Clyde,B
Cob,B
Cobb,B
Cobbie,B
Cobby,B
Cody,B
Colbert,B
Cole,B
Coleman,B
Colin,B
Collin,B
Collins,B
Conan,B
Connie,B
Connolly,B
Connor,B
Conrad,B
Conroy,B
Constantin,B
Constantine,B
Constantinos,B
Conway,B
Cooper,B
Corbin,B
Corby,B
Corey,B
Corky,B
Cornelius,B
Cornellis,B
Corrie,B
Cortese,B
Corwin,B
Cory,B
Cosmo,B
Costa,B
Courtney,B
Craig,B
Crawford,B
Creighton,B
Cris,B
Cristopher,B
Curt,B
Curtice,B
Curtis,B
Cy,B
Cyril,B
Cyrill,B
Cyrille,B
Cyrillus,B
Cyrus,B
Dabney,B
Daffy,B
Dale,B
Dallas,B
Dalton,B
Damian,B
Damien,B
Damon,B
Dan,B
Dana,B
Dane,B
Dani,B
Danie,B
Daniel,B
Dannie,B
Danny,B
Dante,B
Darby,B
Darcy,B
Daren,B
Darian,B
Darien,B
Darin,B
Dario,B
Darius,B
Darrel,B
Darrell,B
Darren,B
Darrick,B
Darrin,B
Darryl,B
Darth,B
Darwin,B
Daryl,B
Daryle,B
Dave,B
Davey,B
David,B
Davidde,B
Davide,B
Davidson,B
Davie,B
Davin,B
Davis,B
Davon,B
Davoud,B
Davy,B
Dawson,B
Dean,B
Deane,B
Del,B
Delbert,B
Dell,B
Delmar,B
Demetre,B
Demetri,B
Demetris,B
Demetrius,B
Demosthenis,B
Denis,B
Dennie,B
Dennis,B
Denny,B
Derby,B
Derek,B
Derick,B
Derk,B
Derrek,B
Derrick,B
Derrin,B
Derrol,B
Derron,B
Deryl,B
Desmond,B
Desmund,B
Devin,B
Devon,B
Dewey,B
Dewitt,B
Dexter,B
Dick,B
Dickey,B
Dickie,B
Diego,B
Dieter,B
Dietrich,B
Dillon,B
Dimitri,B
Dimitrios,B
Dimitris,B
Dimitrou,B
Dimitry,B
Dino,B
Dion,B
Dionis,B
Dionysus,B
Dirk,B
Dmitri,B
Dom,B
Domenic,B
Domenico,B
Dominic,B
Dominick,B
Dominique,B
Don,B
Donal,B
Donald,B
Donn,B
Donnie,B
Donny,B
Donovan,B
Dorian,B
Dory,B
Doug,B
Douggie,B
Dougie,B
Douglas,B
Douglass,B
Douglis,B
Dov,B
Doyle,B
Drake,B
Drew,B
Dru,B
Dryke,B
Duane,B
Dudley,B
Duffie,B
Duffy,B
Dugan,B
Duke,B
Dunc,B
Duncan,B
Dunstan,B
Durand,B
Durant,B
Durante,B
Durward,B
Dustin,B
Dwain,B
Dwaine,B
Dwane,B
Dwayne,B
Dwight,B
Dylan,B
Dyson,B
Earl,B
Earle,B
Easton,B
Eben,B
Ebeneser,B
Ebenezer,B
Eberhard,B
Ed,B
Eddie,B
Eddy,B
Edgar,B
Edgardo,B
Edie,B
Edmond,B
Edmund,B
Edouard,B
Edsel,B
Eduard,B
Eduardo,B
Edward,B
Edwin,B
Efram,B
Egbert,B
Ehud,B
Elbert,B
Elden,B
Eldon,B
Eli,B
Elias,B
Elihu,B
Elijah,B
Eliot,B
Eliott,B
Elisha,B
Elliot,B
Elliott,B
Ellis,B
Ellsworth,B
Ellwood,B
Elmer,B
Elmore,B
Elnar,B
Elric,B
Elroy,B
Elton,B
Elvin,B
Elvis,B
Elwin,B
Elwood,B
Elwyn,B
Ely,B
Emanuel,B
Emerson,B
Emery,B
Emil,B
Emile,B
Emilio,B
Emmanuel,B
Emmery,B
Emmet,B
Emmett,B
Emmit,B
Emmott,B
Emmy,B
Emory,B
Ender,B
Engelbart,B
Engelbert,B
Englebart,B
Englebert,B
Enoch,B
Enrico,B
Enrique,B
Ephraim,B
Ephram,B
Ephrayim,B
Ephrem,B
Er,B
Erasmus,B
Erastus,B
Erek,B
Erhard,B
Erhart,B
Eric,B
Erich,B
Erick,B
Erik,B
Erin,B
Erl,B
Ernest,B
Ernesto,B
Ernie,B
Ernst,B
Erny,B
Errol,B
Ervin,B
Erwin,B
Esau,B
Esme,B
Esteban,B
Ethan,B
Ethelbert,B
Ethelred,B
Etienne,B
Euclid,B
Eugen,B
Eugene,B
Eustace,B
Ev,B
Evan,B
Evelyn,B
Everard,B
Everett,B
Ewan,B
Ewart,B
Ez,B
Ezechiel,B
Ezekiel,B
Ezra,B
Fabian,B
Fabio,B
Fairfax,B
Farley,B
Fazeel,B
Federico,B
Felice,B
Felicio,B
Felipe,B
Felix,B
Ferd,B
Ferdie,B
Ferdinand,B
Ferdy,B
Fergus,B
Ferguson,B
Ferinand,B
Fernando,B
Fidel,B
Filbert,B
Filip,B
Filipe,B
Filmore,B
Finley,B
Finn,B
Fitz,B
Fitzgerald,B
Flem,B
Fleming,B
Flemming,B
Fletch,B
Fletcher,B
Flin,B
Flinn,B
Flint,B
Flipper,B
Florian,B
Floyd,B
Flynn,B
Fons,B
Fonsie,B
Fonz,B
Fonzie,B
Forbes,B
Ford,B
Forest,B
Forester,B
Forrest,B
Forrester,B
Forster,B
Foster,B
Fowler,B
Fox,B
Fran,B
Francesco,B
Francis,B
Francisco,B
Francois,B
Frank,B
Frankie,B
Franklin,B
Franklyn,B
Franky,B
Frans,B
Franz,B
Fraser,B
Frazier,B
Fred,B
Freddie,B
Freddy,B
Frederic,B
Frederich,B
Frederick,B
Frederico,B
Frederik,B
Fredric,B
Fredrick,B
Freeman,B
Freemon,B
Fremont,B
French,B
Friedric,B
Friedrich,B
Friedrick,B
Fritz,B
Fulton,B
Fyodor,B
Gabe,B
Gabriel,B
Gabriele,B
Gabriell,B
Gabriello,B
Gail,B
Gale,B
Galen,B
Gallagher,B
Gamaliel,B
Garcia,B
Garcon,B
Gardener,B
Gardiner,B
Gardner,B
Garey,B
Garfield,B
Garfinkel,B
Garold,B
Garp,B
Garret,B
Garrett,B
Garrot,B
Garrott,B
Garry,B
Garth,B
Garv,B
Garvey,B
Garvin,B
Garvy,B
Garwin,B
Garwood,B
Gary,B
Gaspar,B
Gasper,B
Gaston,B
Gav,B
Gaven,B
Gavin,B
Gavriel,B
Gay,B
Gayle,B
Gearard,B
Gene,B
Geo,B
Geof,B
Geoff,B
Geoffrey,B
Geoffry,B
Georg,B
George,B
Georges,B
Georgia,B
Georgie,B
Georgy,B
Gerald,B
Geraldo,B
Gerard,B
Gere,B
Gerhard,B
Gerhardt,B
Geri,B
Germaine,B
Gerold,B
Gerome,B
Gerrard,B
Gerri,B
Gerrit,B
Gerry,B
Gershom,B
Gershon,B
Giacomo,B
Gian,B
Giancarlo,B
Giavani,B
Gibb,B
Gideon,B
Giff,B
Giffard,B
Giffer,B
Giffie,B
Gifford,B
Giffy,B
Gil,B
Gilbert,B
Gilberto,B
Gilburt,B
Giles,B
Gill,B
Gilles,B
Ginger,B
Gino,B
Giordano,B
Giorgi,B
Giorgio,B
Giovanne,B
Giovanni,B
Giraldo,B
Giraud,B
Giuseppe,B
Glen,B
Glenn,B
Glynn,B
Godard,B
Godart,B
Goddard,B
Goddart,B
Godfree,B
Godfrey,B
Godfry,B
Godwin,B
Gomer,B
Gonzales,B
Gonzalo,B
Goober,B
Goose,B
Gordan,B
Gordie,B
Gordon,B
Grace,B
Grady,B
Graehme,B
Graeme,B
Graham,B
Graig,B
Grant,B
Granville,B
Greg,B
Gregg,B
Greggory,B
Gregor,B
Gregorio,B
Gregory,B
Gretchen,B
Griff,B
Griffin,B
Griffith,B
Griswold,B
Grove,B
Grover,B
Guido,B
Guillaume,B
Guillermo,B
Gunner,B
Gunter,B
Gunther,B
Gus,B
Gustaf,B
Gustav,B
Gustave,B
Gustavo,B
Gustavus,B
Guthrey,B
Guthrie,B
Guthry,B
Guy,B
Hadleigh,B
Hadley,B
Hadrian,B
Hagan,B
Hagen,B
Hailey,B
Hakeem,B
Hakim,B
Hal,B
Hale,B
Haleigh,B
Haley,B
Hall,B
Hallam,B
Halvard,B
Ham,B
Hamel,B
Hamid,B
Hamil,B
Hamilton,B
Hamish,B
Hamlen,B
Hamlet,B
Hamlin,B
Hammad,B
Hamnet,B
Han,B
Hanan,B
Hanford,B
Hank,B
Hannibal,B
Hans,B
Hans-Peter,B
Hansel,B
Hanson,B
Harald,B
Harcourt,B
Hari,B
Harlan,B
Harland,B
Harley,B
Harlin,B
Harman,B
Harmon,B
Harold,B
Harris,B
Harrison,B
Harrold,B
Harry,B
Hart,B
Hartley,B
Hartwell,B
Harv,B
Harvard,B
Harvey,B
Harvie,B
Harwell,B
Hasheem,B
Hashim,B
Haskel,B
Haskell,B
Hassan,B
Hastings,B
Hasty,B
Haven,B
Hayden,B
Haydon,B
Hayes,B
Hayward,B
Haywood,B
Hazel,B
Heath,B
Heathcliff,B
Hebert,B
Hector,B
Heinrich,B
Heinz,B
Helmuth,B
Henderson,B
Hendrick,B
Hendrik,B
Henri,B
Henrie,B
Henrik,B
Henrique,B
Henry,B
Herb,B
Herbert,B
Herbie,B
Herby,B
Hercule,B
Hercules,B
Herculie,B
Herman,B
Hermann,B
Hermon,B
Hermy,B
Hernando,B
Herold,B
Herrick,B
Herrmann,B
Hersch,B
Herschel,B
Hersh,B
Hershel,B
Herve,B
Hervey,B
Hew,B
Hewe,B
Hewet,B
Hewett,B
Hewie,B
Hewitt,B
Heywood,B
Hezekiah,B
Higgins,B
Hilary,B
Hilbert,B
Hill,B
Hillard,B
Hillary,B
Hillel,B
Hillery,B
Hilliard,B
Hilton,B
Hiralal,B
Hiram,B
Hiro,B
Hirsch,B
Hobart,B
Hodge,B
Hogan,B
Hollis,B
Holly,B
Homer,B
Horace,B
Horacio,B
Horatio,B
Horatius,B
Horst,B
Howard,B
Howie,B
Hoyt,B
Hubert,B
Hudson,B
Huey,B
Hugh,B
Hugo,B
Humbert,B
Humphrey,B
Hunt,B
Hunter,B
Huntington,B
Huntlee,B
Huntley,B
Hurley,B
Husain,B
Husein,B
Hussein,B
Hy,B
Hyatt,B
Hyman,B
Hymie,B
Iago,B
Iain,B
Ian,B
Ibrahim,B
Ichabod,B
Iggie,B
Iggy,B
Ignace,B
Ignacio,B
Ignacius,B
Ignatius,B
Ignaz,B
Ignazio,B
Igor,B
Ike,B
Ikey,B
Immanuel,B
Ingamar,B
Ingelbert,B
Ingemar,B
Inglebert,B
Ingmar,B
Ingram,B
Inigo,B
Ira,B
Irvin,B
Irvine,B
Irving,B
Irwin,B
Isa,B
Isaac,B
Isaak,B
Isador,B
Isadore,B
Isaiah,B
Ishmael,B
Isidore,B
Ismail,B
Israel,B
Istvan,B
Ivan,B
Ivor,B
Izaak,B
Izak,B
Izzy,B
Jabez,B
Jack,B
Jackie,B
Jackson,B
Jacob,B
Jacques,B
Jae,B
Jaime,B
Jake,B
Jakob,B
James,B
Jameson,B
Jamey,B
Jamie,B
Jan,B
Janos,B
Janus,B
Jared,B
Jarrett,B
Jarvis,B
Jason,B
Jasper,B
Javier,B
Jay,B
Jean,B
Jean-Christophe,B
Jean-Francois,B
Jean-Lou,B
Jean-Luc,B
Jean-Marc,B
Jean-Paul,B
Jean-Pierre,B
Jeb,B
Jed,B
Jedediah,B
Jef,B
Jeff,B
Jefferey,B
Jefferson,B
Jeffery,B
Jeffie,B
Jeffrey,B
Jeffry,B
Jefry,B
Jehu,B
Jennings,B
Jens,B
Jephthah,B
Jerald,B
Jeramie,B
Jere,B
Jereme,B
Jeremiah,B
Jeremias,B
Jeremie,B
Jeremy,B
Jermain,B
Jermaine,B
Jermayne,B
Jerold,B
Jerome,B
Jeromy,B
Jerri,B
Jerrie,B
Jerrold,B
Jerrome,B
Jerry,B
Jervis,B
Jerzy,B
Jess,B
Jesse,B
Jessee,B
Jessey,B
Jessie,B
Jesus,B
Jeth,B
Jethro,B
Jim,B
Jimbo,B
Jimmie,B
Jimmy,B
Jo,B
Joab,B
Joachim,B
Joao,B
Joaquin,B
Job,B
Jock,B
Jodi,B
Jodie,B
Jody,B
Joe,B
Joel,B
Joey,B
Johan,B
Johann,B
Johannes,B
John,B
John-David,B
John-Patrick,B
Johnathan,B
Johnathon,B
Johnnie,B
Johnny,B
Johny,B
Jon,B
Jonah,B
Jonas,B
Jonathan,B
Jonathon,B
Jonny,B
Jordan,B
Jordon,B
Jordy,B
Jorge,B
Jory,B
Jose,B
Josef,B
Joseph,B
Josephus,B
Josh,B
Joshua,B
Joshuah,B
Josiah,B
Jotham,B
Juan,B
Juanita,B
Jud,B
Judah,B
Judas,B
Judd,B
Jude,B
Judith,B
Judson,B
Judy,B
Juergen,B
Jule,B
Jules,B
Julian,B
Julie,B
Julio,B
Julius,B
Justin,B
Justis,B
Kaiser,B
Kaleb,B
Kalil,B
Kalle,B
Kalman,B
Kalvin,B
Kam,B
Kane,B
Kareem,B
Karel,B
Karim,B
Karl,B
Karsten,B
Kaspar,B
Keefe,B
Keenan,B
Keene,B
Keil,B
Keith,B
Kellen,B
Kelley,B
Kelly,B
Kelsey,B
Kelvin,B
Kelwin,B
Ken,B
Kendal,B
Kendall,B
Kendrick,B
Kenn,B
Kennedy,B
Kenneth,B
Kenny,B
Kent,B
Kenton,B
Kenyon,B
Kermie,B
Kermit,B
Kerry,B
Kevan,B
Kevin,B
Kim,B
Kimball,B
Kimmo,B
Kin,B
Kincaid,B
King,B
Kingsley,B
Kingsly,B
Kingston,B
Kip,B
Kirby,B
Kirk,B
Kit,B
Klaus,B
Klee,B
Knox,B
Konrad,B
Konstantin,B
Kory,B
Kostas,B
Kraig,B
Kris,B
Krishna,B
Kristian,B
Kristopher,B
Kristos,B
Kurt,B
Kurtis,B
Kyle,B
Laird,B
Lamar,B
Lambert,B
Lamont,B
Lance,B
Lancelot,B
Lane,B
Langston,B
Lanny,B
Larry,B
Lars,B
Laurance,B
Lauren,B
Laurence,B
Laurens,B
Laurent,B
Laurie,B
Lawerence,B
Lawrence,B
Lawson,B
Lawton,B
Lay,B
Layton,B
Lazar,B
Lazare,B
Lazaro,B
Lazarus,B
Lazlo,B
Lee,B
Lefty,B
Leif,B
Leigh,B
Leighton,B
Leland,B
Lem,B
Lemar,B
Lemmie,B
Lemmy,B
Lemuel,B
Len,B
Lenard,B
Lennie,B
Lenny,B
Leo,B
Leon,B
Leonard,B
Leonardo,B
Leonerd,B
Leonhard,B
Leonid,B
Leonidas,B
Leopold,B
Leroy,B
Les,B
Lesley,B
Leslie,B
Lester,B
Lev,B
Levi,B
Levin,B
Levon,B
Levy,B
Lew,B
Lewis,B
Lex,B
Liam,B
Lin,B
Lincoln,B
Lind,B
Lindsay,B
Lindsey,B
Lindy,B
Linoel,B
Linus,B
Lion,B
Lionel,B
Lionello,B
Llewellyn,B
Lloyd,B
Locke,B
Lockwood,B
Logan,B
Lon,B
Lonnie,B
Lonny,B
Loren,B
Lorenzo,B
Lorne,B
Lorrie,B
Lothar,B
Lou,B
Louie,B
Louis,B
Lovell,B
Lowell,B
Lucas,B
Luce,B
Lucian,B
Luciano,B
Lucien,B
Lucio,B
Lucius,B
Ludvig,B
Ludwig,B
Luigi,B
Luis,B
Lukas,B
Luke,B
Luther,B
Lyle,B
Lyn,B
Lyndon,B
Lynn,B
Mac,B
Mace,B
Mack,B
Mackenzie,B
Maddie,B
Maddy,B
Madison,B
Magnum,B
Magnus,B
Mahesh,B
Mahmoud,B
Mahmud,B
Maison,B
Major,B
